feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
lpc,3,0.0,256,3,0.2754491017964072,0.23407738095238095,"(257,)","(665, 72000)","(167, 72000)",knn
lpc,3,0.0,512,3,0.12574850299401197,0.09544999651907544,"(513,)","(665, 72000)","(167, 72000)",knn
lpc,3,0.0,1024,3,0.10179640718562874,0.06675955104263927,"(1025,)","(665, 72000)","(167, 72000)",knn
lpc,3,0.0,2048,3,0.1317365269461078,0.09483173076923078,"(2049,)","(665, 72000)","(167, 72000)",knn
lpc,3,0.25,256,3,0.2215568862275449,0.181712962962963,"(257,)","(665, 72000)","(167, 72000)",knn
lpc,3,0.25,512,3,0.08982035928143711,0.06578282828282829,"(513,)","(665, 72000)","(167, 72000)",knn
lpc,3,0.25,1024,3,0.10179640718562874,0.06625330687830687,"(1025,)","(665, 72000)","(167, 72000)",knn
lpc,3,0.25,2048,3,0.011976047904191617,0.009375,"(2049,)","(665, 72000)","(167, 72000)",knn
lpc,3,0.5,256,3,0.19161676646706588,0.138510101010101,"(257,)","(665, 72000)","(167, 72000)",knn
lpc,3,0.5,512,3,0.09580838323353294,0.07313034188034188,"(513,)","(665, 72000)","(167, 72000)",knn
lpc,3,0.5,1024,3,0.10179640718562874,0.06064814814814814,"(1025,)","(665, 72000)","(167, 72000)",knn
lpc,3,0.5,2048,3,0.09580838323353294,0.060300925925925924,"(2049,)","(665, 72000)","(167, 72000)",knn
lpc,3,1.0,256,3,0.19161676646706588,0.135806727994228,"(257,)","(665, 72000)","(167, 72000)",knn
lpc,3,1.0,512,3,0.09580838323353294,0.07109036796536797,"(513,)","(665, 72000)","(167, 72000)",knn
lpc,3,1.0,1024,3,0.11377245508982035,0.06862599206349207,"(1025,)","(665, 72000)","(167, 72000)",knn
lpc,3,1.0,2048,3,0.09580838323353294,0.0647659632034632,"(2049,)","(665, 72000)","(167, 72000)",knn
