feature,segment_time,noise_percentage,feature_coeff,augmentation,f1_micro,f1_macro,representation_size,train_size,test_size,algorithm
lpc,2,0.0,256,3,0.2896551724137931,0.2556011458584988,"(257,)","(1157, 48000)","(290, 48000)",knn
lpc,2,0.0,512,3,0.18620689655172415,0.14844476992914493,"(513,)","(1157, 48000)","(290, 48000)",knn
lpc,2,0.0,1024,3,0.1310344827586207,0.10794446838564487,"(1025,)","(1157, 48000)","(290, 48000)",knn
lpc,2,0.0,2048,3,0.10689655172413794,0.08325366762866764,"(2049,)","(1157, 48000)","(290, 48000)",knn
lpc,2,0.25,256,3,0.2413793103448276,0.18794449185074183,"(257,)","(1157, 48000)","(290, 48000)",knn
lpc,2,0.25,512,3,0.13448275862068965,0.09919507575757576,"(513,)","(1157, 48000)","(290, 48000)",knn
lpc,2,0.25,1024,3,0.13793103448275862,0.1047330948372615,"(1025,)","(1157, 48000)","(290, 48000)",knn
lpc,2,0.25,2048,3,0.11379310344827587,0.08178379885696958,"(2049,)","(1157, 48000)","(290, 48000)",knn
lpc,2,0.5,256,3,0.23793103448275862,0.18642009793325584,"(257,)","(1157, 48000)","(290, 48000)",knn
lpc,2,0.5,512,3,0.12758620689655173,0.09100746658312447,"(513,)","(1157, 48000)","(290, 48000)",knn
lpc,2,0.5,1024,3,0.12758620689655173,0.09986111293677084,"(1025,)","(1157, 48000)","(290, 48000)",knn
lpc,2,0.5,2048,3,0.11724137931034483,0.09127932252932253,"(2049,)","(1157, 48000)","(290, 48000)",knn
lpc,2,1.0,256,3,0.24482758620689654,0.18945566280125103,"(257,)","(1157, 48000)","(290, 48000)",knn
lpc,2,1.0,512,3,0.12758620689655173,0.09034973798131692,"(513,)","(1157, 48000)","(290, 48000)",knn
lpc,2,1.0,1024,3,0.12413793103448276,0.09759529298707172,"(1025,)","(1157, 48000)","(290, 48000)",knn
lpc,2,1.0,2048,3,0.11379310344827587,0.08576088263588262,"(2049,)","(1157, 48000)","(290, 48000)",knn
